지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
419,2022-01-01 00:00,-9.4,60.3,3.5,0,998.3,1033.3,34,0,1.1
419,2022-01-01 01:00,-9.4,39.9,2,0,998.6,1033.6,35.8,0,0
419,2022-01-01 02:00,-9.7,317,2.2,0,998.7,1033.7,36.2,0,0
419,2022-01-01 03:00,-9.8,335.2,1.6,0,999,1034,40.5,0,0
419,2022-01-01 04:00,-9.3,159,1.3,0,998.3,1033.2,38.3,0,0
419,2022-01-01 05:00,-9.7,343.2,.9,0,998.4,1033.4,44.5,0,0
419,2022-01-01 06:00,-9.4,147.8,.5,0,998.2,1033.2,43.4,0,0
419,2022-01-01 07:00,-10.1,173.7,2.7,0,998,1033.1,49.2,0,0
419,2022-01-01 08:00,-10.4,166,3.1,0,998.1,1033.2,47,0,0
419,2022-01-01 09:00,-10,163.1,3.5,0,998.2,1033.2,48,0,.7
419,2022-01-01 10:00,-8.8,161.5,2.4,0,998.8,1033.7,41.7,0,1.1
419,2022-01-01 11:00,-7.4,168.3,.9,0,998.9,1033.6,37.5,0,1.7
419,2022-01-01 12:00,-5.9,142.2,.6,0,998.2,1032.6,35.8,0,2.1
419,2022-01-01 13:00,-3.3,101.5,.6,0,997.3,1031.4,32.8,0,2.7
419,2022-01-01 14:00,-1.2,147.8,.5,0,996.2,1030,34.4,0,3.1
419,2022-01-01 15:00,-1.2,0,.4,0,995.7,1029.5,36.1,0,3.7
419,2022-01-01 16:00,-.5,97.7,.6,0,995.7,1029.4,36,0,3.5
419,2022-01-01 17:00,-1.6,318,.8,0,995.6,1029.4,39.4,10.64,4.4
419,2022-01-01 18:00,-1.9,191.7,2.2,0,995.4,1029.2,39.2,.17,3.5
419,2022-01-01 19:00,-1.8,281.7,.5,0,995.4,1029.2,39.8,10.65,4.4
419,2022-01-01 20:00,-2,208.8,2.5,0,994.9,1028.7,42.2,-10.65,2.8
419,2022-01-01 21:00,-2.2,175.7,2.9,0,994.6,1028.5,43.7,10.65,4.4
419,2022-01-01 22:00,-2.1,184.2,.6,0,994.6,1028.4,43.7,-10.65,2.8
419,2022-01-01 23:00,-2.2,221.3,.9,0,994.3,1028.1,46.8,10.65,4.4
419,2022-01-02 00:00,-3.1,175.4,1.8,0,993.4,1027.3,54.1,-10.65,2.8
419,2022-01-02 01:00,-3.3,185.2,1.7,0,992.8,1026.7,55.3,0,0
419,2022-01-02 02:00,-3.1,189.4,2.1,0,992.5,1026.4,54.1,0,0
419,2022-01-02 03:00,-3.2,175,2.8,0,992.2,1026.1,52.2,0,0
419,2022-01-02 04:00,-3.4,173.5,2.4,0,991.5,1025.4,55.1,0,0
419,2022-01-02 05:00,-3.4,175.6,2.5,0,990.8,1024.7,56.9,0,0
419,2022-01-02 06:00,-3.4,307.3,1.3,0,991.2,1025.1,71,0,0
419,2022-01-02 07:00,-2.8,309.5,1,.5,991.4,1025.2,90.7,0,0
419,2022-01-02 08:00,-3.5,186.5,1.8,0,991.8,1025.7,90.2,0,0
419,2022-01-02 09:00,-2.6,11.1,.5,0,992.6,1026.4,86.7,0,.9
419,2022-01-02 10:00,-1.8,332,1.5,0,993.4,1027.2,82.2,0,1
419,2022-01-02 11:00,-2.1,80.4,3.5,0,993.8,1027.6,84.1,0,1.9
419,2022-01-02 12:00,-1.7,349.1,4.3,0,993.5,1027.2,79.9,0,1.9
419,2022-01-02 13:00,-.1,20.9,3.4,0,992.9,1026.4,71,0,3
419,2022-01-02 14:00,.3,293.5,3.9,0,992.4,1025.9,54.8,0,2.9
419,2022-01-02 15:00,.9,5.7,2.6,0,992.5,1025.9,42.7,0,4
419,2022-01-02 16:00,.3,27.1,3.6,0,992.7,1026.2,47.1,0,3.2
419,2022-01-02 17:00,-1,355.7,3.7,0,992.8,1026.4,47.2,0,4
419,2022-01-02 18:00,-2.2,3.5,3.7,0,993.3,1027.1,37.8,0,3.2
419,2022-01-02 19:00,-3,353.8,3.4,0,993.8,1027.7,37.2,5.49,3.6
419,2022-01-02 20:00,-3.7,282.8,3.2,0,993.8,1027.8,42.3,.68,3.2
419,2022-01-02 21:00,-4.4,27.6,3.7,0,993.9,1028,41.8,5.49,3.6
419,2022-01-02 22:00,-4.8,27.9,3.6,0,994,1028.2,43.7,.68,3.2
419,2022-01-02 23:00,-5.4,336,2.6,0,994.2,1028.5,45.7,4.81,3.6
419,2022-01-03 00:00,-5.7,341.2,2.3,0,993.7,1028,45.9,-4.81,3.6
419,2022-01-03 01:00,-6.1,341.9,2.3,0,993.7,1028,46.9,0,0
419,2022-01-03 02:00,-6.3,353.8,1,0,993.7,1028,47.6,0,0
419,2022-01-03 03:00,-6.5,323.7,.9,0,993.8,1028.2,50.3,0,0
419,2022-01-03 04:00,-6.8,20.9,1.5,0,993.5,1027.9,44.5,0,0
419,2022-01-03 05:00,-6.7,153.4,1.9,0,993.3,1027.7,48.6,0,0
419,2022-01-03 06:00,-6.9,160.7,2.8,0,993.1,1027.5,39.9,0,0
419,2022-01-03 07:00,-6.8,200.3,2.1,0,993.1,1027.5,50.2,0,0
419,2022-01-03 08:00,-7.3,331.8,1.8,0,993.8,1028.3,50.7,0,0
419,2022-01-03 09:00,-6.3,323.5,.7,0,993.9,1028.3,54.6,.15,.4
419,2022-01-03 10:00,-5.1,0,.3,0,994,1028.2,46,1.66,1
419,2022-01-03 11:00,-3.1,287.1,.7,0,993.8,1027.8,32.6,2.49,1.3
419,2022-01-03 12:00,-2,288.5,1.4,0,993.1,1026.9,36,2.37,2.4
419,2022-01-03 13:00,-1.1,281.8,3.3,0,992.6,1026.2,45.7,4.07,2
419,2022-01-03 14:00,.5,279.7,2,0,991.9,1025.3,44.5,4.32,3.4
419,2022-01-03 15:00,0,40.4,2.4,0,991.6,1025.1,45.9,5.86,3
419,2022-01-03 16:00,.1,317,2.4,0,991.3,1024.8,52.4,6.33,5
419,2022-01-03 17:00,-.6,319.1,1.9,0,991.3,1024.9,56.8,6.31,3.3
419,2022-01-03 18:00,-.7,322.9,2,0,991.2,1024.7,61.4,-6.31,-3.3
419,2022-01-03 19:00,-.6,305.9,2.1,0,991.1,1024.7,69.1,6.31,3.3
419,2022-01-03 20:00,-.3,301.7,2.1,0,991.4,1024.9,71.2,-6.31,-3.3
419,2022-01-03 21:00,-.9,288.7,1.7,0,991.1,1024.7,81.1,6.31,3.3
419,2022-01-03 22:00,-1.1,304.3,2.2,0,991,1024.6,81.8,-6.31,-3.3
419,2022-01-03 23:00,-1.3,326.4,2.3,0,990.7,1024.3,83.8,6.31,3.3
419,2022-01-04 00:00,-.9,327.3,2.3,0,991.1,1024.7,87,-6.31,-3.3
419,2022-01-04 01:00,-1.1,39.4,3.7,0,991.5,1025.1,86.3,0,0
419,2022-01-04 02:00,-2.1,52.6,3.2,0,991.8,1025.5,81.1,0,0
419,2022-01-04 03:00,-2.9,354.5,2.7,0,992.8,1026.7,80.1,0,0
419,2022-01-04 04:00,-3.7,44.6,3.1,0,992.9,1026.9,77.6,0,0
419,2022-01-04 05:00,-4.3,36.6,3.5,0,993,1027.1,73.8,0,0
419,2022-01-04 06:00,-5.1,343.9,3.4,0,993.7,1027.9,74.4,0,0
419,2022-01-04 07:00,-5.3,40.9,3.1,0,994.4,1028.7,74.6,0,0
419,2022-01-04 08:00,-6.1,350.9,2.5,0,994.5,1028.8,77,0,0
419,2022-01-04 09:00,-5.5,43.9,2.6,0,995,1029.3,70.1,0,0
419,2022-01-04 10:00,-5.3,14.8,3.7,0,995.1,1029.4,60.3,0,0
419,2022-01-04 11:00,-4.1,346.2,2.5,0,995,1029.1,53.9,0,0
419,2022-01-04 12:00,-3.3,295.8,2.5,0,994.5,1028.5,43.2,3.46,3.8
419,2022-01-04 13:00,-2.7,31.7,3.5,0,993.9,1027.8,45.6,3.04,.6
419,2022-01-04 14:00,-.6,294.1,2.7,0,993.5,1027.1,35.7,3.64,4.9
419,2022-01-04 15:00,-1.1,304.2,3.4,0,993.7,1027.4,30.9,6.38,1.6
419,2022-01-04 16:00,-1.6,321.7,3.4,0,993.9,1027.6,27.8,4.69,5.8
419,2022-01-04 17:00,-2.3,328.6,3.4,0,994.2,1028.1,26.5,6.79,2.5
419,2022-01-04 18:00,-3.1,316.2,3.3,0,994.4,1028.4,27.2,4.71,5.1
419,2022-01-04 19:00,-3.5,36.4,2.3,0,994.6,1028.6,28.5,6.79,2.5
419,2022-01-04 20:00,-3.8,39.1,3.4,0,994.7,1028.8,29.1,4.71,5.1
419,2022-01-04 21:00,-4.7,340.2,2.5,0,994.8,1029,33,6.79,2.5
419,2022-01-04 22:00,-5.1,2.4,.6,0,994.7,1029,36.2,4.71,5.1
419,2022-01-04 23:00,-5.1,157.8,2.8,0,994.9,1029.2,36.3,6.79,2.5
419,2022-01-05 00:00,-5.4,141.5,2.4,0,995.3,1029.6,37.3,4.15,5.9
419,2022-01-05 01:00,-5.8,151.9,3,0,994.9,1029.2,41.4,0,0
419,2022-01-05 02:00,-6.2,148.2,2.4,0,995,1029.4,42.4,0,0
419,2022-01-05 03:00,-6.1,175,1.3,0,995.3,1029.7,41.3,0,0
419,2022-01-05 04:00,-6.6,139.3,3.6,0,994.7,1029.1,45,0,0
419,2022-01-05 05:00,-7.1,149.8,2.8,0,994.5,1029,46.6,0,0
419,2022-01-05 06:00,-6.9,154.6,2.4,0,994.7,1029.2,46.2,0,0
419,2022-01-05 07:00,-7.5,170.4,3.5,0,994.5,1029,51,0,0
419,2022-01-05 08:00,-7.4,166.5,4.2,0,994.8,1029.3,51.1,0,0
419,2022-01-05 09:00,-6.7,162.7,3.8,0,994.8,1029.2,47.8,.01,0
419,2022-01-05 10:00,-6.1,171.3,3,0,995.1,1029.5,47.4,.06,1.6
419,2022-01-05 11:00,-4.4,149.1,2.6,0,995.3,1029.5,42.8,.89,.1
419,2022-01-05 12:00,-3.3,138.2,3.3,0,994.4,1028.4,39.3,.61,3
419,2022-01-05 13:00,-2.1,128.9,2.7,0,993.3,1027.1,37.2,2,1.1
419,2022-01-05 14:00,-1.1,135.8,2.5,0,992.9,1026.5,34.6,1.41,2.2
419,2022-01-05 15:00,-.2,126.3,2.2,0,992.8,1026.4,33.7,-1.41,-2.2
419,2022-01-05 16:00,-.2,135.9,2.2,0,992.5,1026,34.7,1.41,2.2
419,2022-01-05 17:00,-.4,339.3,.6,0,993,1026.6,40.5,-1.41,-2.2
419,2022-01-05 18:00,-.6,347.6,.6,0,993.1,1026.7,39.7,1.41,2.2
419,2022-01-05 19:00,-.6,16.7,.6,0,993.3,1026.9,39.8,-1.41,-2.2
419,2022-01-05 20:00,-.6,120.2,1.2,0,993.3,1026.9,40,1.41,2.2
419,2022-01-05 21:00,-1.2,318.9,1.8,0,993.6,1027.3,40.9,-1.41,-2.2
419,2022-01-05 22:00,-1.9,325,2.5,0,993.8,1027.6,42.3,6.43,5.5
419,2022-01-05 23:00,-2.2,340.8,1.2,0,993.7,1027.5,42.1,-1.41,-2.2
419,2022-01-06 00:00,-1.7,123,1.8,0,993.3,1027,40.3,6.43,5.5
419,2022-01-06 01:00,-2.4,0,.2,0,993.1,1026.9,45.6,0,0
419,2022-01-06 02:00,-3,78.8,1.8,0,992.9,1026.8,47,0,0
419,2022-01-06 03:00,-2.6,155,2.1,0,993.4,1027.3,45.8,0,0
419,2022-01-06 04:00,-4.4,311.8,1.9,0,993.3,1027.4,57,0,0
419,2022-01-06 05:00,-5,319.8,1.9,0,993.3,1027.5,55.3,0,0
419,2022-01-06 06:00,-5,27.7,2.4,0,993.7,1027.9,49.2,0,0
419,2022-01-06 07:00,-6.1,332.5,2.3,0,994.4,1028.7,56.2,0,0
419,2022-01-06 08:00,-5.7,338.3,2.5,0,994.9,1029.2,53.9,.01,0
419,2022-01-06 09:00,-5.6,335.2,2,0,995.5,1029.9,54.5,0,.5
419,2022-01-06 10:00,-4.2,331.1,2.2,0,996.1,1030.3,45.2,1.4,1
419,2022-01-06 11:00,-2.6,299.5,2.1,0,996.2,1030.2,37.4,1.6,1.5
419,2022-01-06 12:00,-1.2,292.4,2.3,0,995.5,1029.2,32.5,1.8,2
419,2022-01-06 13:00,0,293.2,2.7,0,994.6,1028.2,33.1,5.14,2.5
419,2022-01-06 14:00,.7,19.4,3.6,0,994.3,1027.8,29,3.75,3
419,2022-01-06 15:00,1.4,296.7,3.1,0,994.1,1027.5,30.8,6.68,3.4
419,2022-01-06 16:00,.3,355.1,3.1,0,994.4,1027.9,30.6,4.43,4.1
419,2022-01-06 17:00,.1,314.7,2.4,0,994.8,1028.4,32.7,7.26,4.3
419,2022-01-06 18:00,-.8,338.6,3,0,995.3,1029,34.2,5.25,4.1
419,2022-01-06 19:00,-1.4,36.4,4.2,0,995.8,1029.6,32.8,7.26,4.3
419,2022-01-06 20:00,-2.2,51.6,3.5,0,996.1,1030,37.4,5.25,4.1
419,2022-01-06 21:00,-2.6,32.9,3.4,0,996.3,1030.3,39.6,7.26,4.3
419,2022-01-06 22:00,-3.6,326.9,2.3,0,996.6,1030.7,43.6,5.25,4.1
419,2022-01-06 23:00,-3.6,60.4,.7,0,996.6,1030.7,44.2,7.26,4.3
419,2022-01-07 00:00,-3.7,142.1,.8,0,996.6,1030.7,45.4,5.25,4.1
419,2022-01-07 01:00,-3.6,160,2.3,0,996.6,1030.7,45.5,0,0
419,2022-01-07 02:00,-4.1,139.9,3,0,996.7,1030.9,46.6,0,0
419,2022-01-07 03:00,-4.4,150.4,1.9,0,996.9,1031.1,48,0,0
419,2022-01-07 04:00,-4.6,154.1,1.7,0,996.8,1031.1,49.6,0,0
419,2022-01-07 05:00,-4.8,182.2,1.1,0,996.8,1031.1,49.6,0,0
419,2022-01-07 06:00,-4.7,160.2,1.6,0,996.8,1031.1,50.1,0,0
419,2022-01-07 07:00,-5,170,1.2,0,997.1,1031.4,51.1,0,0
419,2022-01-07 08:00,-5.4,0,.3,0,997.2,1031.6,55.1,.01,0
419,2022-01-07 09:00,-3.8,0,.1,0,997.6,1031.8,56.9,.5,1.1
419,2022-01-07 10:00,-2.7,0,.3,0,997.8,1031.8,52.6,.59,.7
419,2022-01-07 11:00,-2.4,318.2,.7,0,997.5,1031.5,48.9,3.52,1.8
419,2022-01-07 12:00,-.4,296.9,2.1,0,996.6,1030.3,42.8,2.55,1.7
419,2022-01-07 13:00,.5,301.1,2.2,0,995.9,1029.5,28.1,5.63,2.8
419,2022-01-07 14:00,1.5,291.9,2,0,995.4,1028.8,27,4.54,2.7
419,2022-01-07 15:00,1.7,309.7,2.8,0,995.1,1028.5,20.3,7.27,3.8
419,2022-01-07 16:00,2.7,288.1,1.7,0,994.9,1028.1,19,3.38,3.7
419,2022-01-07 17:00,.8,309.1,2.1,0,994.9,1028.4,21.4,8.2,4.7
419,2022-01-07 18:00,-.2,79,3.6,0,994.9,1028.5,27.7,3.68,3.7
419,2022-01-07 19:00,-1,322.2,2.8,0,995.2,1028.9,40.3,9.66,4.7
419,2022-01-07 20:00,-1.6,311.6,2.7,0,995.3,1029.1,42.8,3.68,3.7
419,2022-01-07 21:00,-1.7,304.8,3,0,995.2,1029,47,9.66,4.7
419,2022-01-07 22:00,-1.5,19.2,2.5,0,994.9,1028.7,42.3,3.68,3.7
419,2022-01-07 23:00,-1.5,32.2,2.2,0,994.7,1028.5,39.3,8.2,4.7
419,2022-01-08 00:00,-2.1,47.1,1.1,0,994.4,1028.2,49.9,3.68,3.7
419,2022-01-08 01:00,-2,342.2,1.1,0,994,1027.8,46.5,0,0
419,2022-01-08 02:00,-2.8,318.8,1.9,0,994,1027.9,59.2,0,0
419,2022-01-08 03:00,-3.2,325.3,1.9,0,994.1,1028.1,60,0,0
419,2022-01-08 04:00,-2.7,22.7,.5,0,993.5,1027.4,54.1,0,0
