F_DISA_NM,F_AVR_HGT,F_AREA,ADM_CD,F_SAT_YMD,F_END_YMD,F_SAT_TM,F_END_TM,F_RSN_DTL,F_ZONE_NM,INV_YR,F_YR,GU_NAM,F_SHIM,geometry
2018년 8.26~9.1 호우,83.74,143.61,1130510100,20180826,20180901,14,18,침수(기타),강북구 미아동258-470,2020,2020,강북구,0.45,"POLYGON ((958787.9883956892 1958336.5053205977, 958803.9969028232 1958340.548753752, 958807.2081635664 1958328.7780868532, 958807.7515459416 1958326.8179316856, 958791.8797237915 1958322.7247906348, 958788.4505209131 1958334.8674767725, 958787.9883956892 1958336.5053205977))"
2020년 7.28~8.11 호우,93.16,126.65,1130510100,20200728,20200811,14,18,침수,강북구 미아동258-115,2020,2020,강북구,0.45,"POLYGON ((958768.0982334389 1958489.782772579, 958781.9669600549 1958492.7759648343, 958785.46606667 1958480.244051934, 958771.7733655804 1958476.5151988873, 958768.0982334389 1958489.782772579))"
2018년 8.26~9.1 호우,36.13,61.62,1130510100,20180826,20180901,14,18,침수(기타),강북구 미아동49-142,2020,2020,강북구,0.45,"POLYGON ((958983.0950755279 1957102.2745772926, 958989.8407169022 1957107.387834735, 958990.5429109549 1957107.6620023104, 958996.8703409301 1957100.2811491692, 958989.270600219 1957094.7125987073, 958983.0950755279 1957102.2745772926))"
2020년 7.28~8.11 호우,31.34,106.21,1130510100,20200728,20200811,14,18,침수,강북구 미아동49-97,2020,2020,강북구,0.45,"POLYGON ((958913.415416611 1957059.034860163, 958902.6653117645 1957047.9051203083, 958896.5236076926 1957053.7415641453, 958896.0836236037 1957055.5962085535, 958905.7996712937 1957066.077683312, 958913.415416611 1957059.034860163))"
2018년 8.26~9.1 호우,37.7,90.61,1130510100,20180826,20180901,14,18,침수(기타),강북구 미아동217-99,2020,2020,강북구,0.45,"POLYGON ((957915.2000303437 1958972.4617922201, 957926.164017294 1958975.8622638558, 957929.1510822196 1958966.1100231565, 957918.2371815128 1958962.7292779183, 957915.2000303437 1958972.4617922201))"
2018년 8.26~9.1 호우,33.61,61.83,1130510100,20180826,20180901,14,18,침수(기타),강북구 미아동162-42,2020,2020,강북구,0.45,"POLYGON ((958063.5645833281 1959412.7593348334, 958064.0926795513 1959404.1587329947, 958064.1350023368 1959403.4697647917, 958054.3146350564 1959402.7122363318, 958053.6545707085 1959412.0622603574, 958062.4346643058 1959412.695363516, 958063.5645833281 1959412.7593348334))"
2020년 7.28~8.11 호우,58.39,82.0,1135010500,20200728,20200811,16,22,기타,노원구 상계동68-24,2020,2020,노원구,0.5,"POLYGON ((963183.3032503647 1963425.7255117558, 963173.0127056551 1963422.635412886, 963175.366676747 1963413.020528547, 963165.1565981462 1963410.3998240463, 963161.6631958811 1963420.2286878924, 963168.3523792983 1963421.3027038402, 963170.6263732152 1963422.215264016, 963170.3120705737 1963424.204183623, 963182.8234571847 1963427.4224219609, 963183.3032503647 1963425.7255117558))"
2020년 7.28~8.11 호우,42.33,108.0,1135010200,20200728,20200811,17,23,침수,노원구 월계동산120-5,2020,2020,노원구,0.5,"POLYGON ((960452.3846044644 1958343.7690554087, 960469.7133407647 1958347.3896251111, 960511.412347817 1958360.8750074438, 960549.7668654149 1958416.0025305785, 960573.9637270044 1958412.2273817435, 960572.5140407201 1958410.8665951232, 960568.9029706657 1958408.9045182841, 960568.2966036206 1958408.2279940164, 960566.1218000307 1958406.229299571, 960564.5520779925 1958398.6424874268, 960562.346803051 1958388.4600263129, 960560.8466432097 1958383.6188140553, 960559.4510932805 1958380.405435018, 960556.3008931314 1958373.3698134273, 960554.2131760763 1958368.7586366294, 960550.7165430189 1958362.1816835115, 960545.7785562387 1958352.8014406809, 960540.1177190075 1958341.8926120924, 960539.8354472811 1958340.8804917044, 960538.6970503376 1958334.138070612, 960537.2343111825 1958324.673394429, 960536.3964958539 1958319.1909034122, 960527.3354474076 1958314.7777028962, 960525.2872475402 1958317.418594368, 960518.2189859118 1958311.6003329523, 960511.3211113457 1958310.0075804978, 960507.2134586937 1958308.8418427587, 960506.1822069882 1958308.5334377394, 960498.5169803114 1958307.1966662854, 960490.4126492075 1958305.8092468667, 960479.9824466173 1958303.9053790304, 960472.7546328348 1958302.6772426786, 960469.9811740051 1958307.1003190344, 960465.4989716224 1958314.4623716106, 960459.9054233991 1958323.3747474006, 960448.9290542781 1958338.716311323, 960452.3846044644 1958343.7690554087))"
2020년 7.28~8.11 호우,42.39,96.0,1135010200,20200728,20200811,6,12,침수,노원구 월계동392-58,2020,2020,노원구,0.5,"POLYGON ((960875.4345941468 1958240.5890468399, 960881.6736595901 1958249.8884045002, 960882.6964771526 1958248.9853093787, 960885.0762777679 1958246.8574645028, 960886.8941004847 1958245.0704774586, 960889.1441287692 1958242.9763094543, 960888.3634598716 1958241.665949506, 960883.4902687429 1958234.3216003878, 960878.8892520814 1958237.945684771, 960875.4345941468 1958240.5890468399))"
2020년 7.28~8.11 호우,21.64,99.0,1135010200,20200728,20200811,15,21,침수,노원구 월계동473-12,2020,2020,노원구,0.5,"POLYGON ((961102.526337516 1957715.270942445, 961109.6970787477 1957708.388434569, 961110.9919572824 1957706.1983787033, 961103.9107620739 1957697.9431010582, 961098.673845228 1957696.8353388153, 961092.6931272778 1957701.3594111209, 961102.526337516 1957715.270942445))"
